"id","opportunity","percentile","cutoff","accessibility"
"relation/11879871","hospital",50,30,1
"relation/11879872","hospital",50,30,1
"relation/11879873","hospital",50,30,1
"relation/11879874","hospital",50,30,1
"relation/11879875","hospital",50,30,1
"relation/11879876","hospital",50,30,1
"relation/11879877","hospital",50,30,1
"relation/11879878","hospital",50,30,1
"relation/11882583","hospital",50,30,1
"relation/11978732","hospital",50,30,1
"relation/12075355","hospital",50,30,1
"relation/12140375","hospital",50,30,1
"relation/12140376","hospital",50,30,1
"relation/12194564","hospital",50,30,2
"relation/12238302","hospital",50,30,1
"relation/12254709","hospital",50,30,0
"relation/12323418","hospital",50,30,1
"relation/12361582","hospital",50,30,0
"relation/12494914","hospital",50,30,2
"relation/12494915","hospital",50,30,2
"relation/12494916","hospital",50,30,2
"relation/12581939","hospital",50,30,1
"relation/12631088","hospital",50,30,2
"relation/12634231","hospital",50,30,3
"relation/12694422","hospital",50,30,0
"relation/12773465","hospital",50,30,1
"relation/12774729","hospital",50,30,1
"relation/12840955","hospital",50,30,0
"relation/12882724","hospital",50,30,0
"relation/12914072","hospital",50,30,0
"relation/12932879","hospital",50,30,0
"relation/12932880","hospital",50,30,0
"relation/12932881","hospital",50,30,0
"relation/13006567","hospital",50,30,1
"relation/13023529","hospital",50,30,1
"relation/13042640","hospital",50,30,0
"relation/13091497","hospital",50,30,0
"relation/13102956","hospital",50,30,0
"relation/13152897","hospital",50,30,2
"relation/13152898","hospital",50,30,3
"relation/13152899","hospital",50,30,2
"relation/13152901","hospital",50,30,2
"relation/13152902","hospital",50,30,2
"relation/13152903","hospital",50,30,2
"relation/13335789","hospital",50,30,0
"relation/13436270","hospital",50,30,2
"relation/13619891","hospital",50,30,0
"way/13790355","hospital",50,30,1
"way/13790807","hospital",50,30,1
"way/13790946","hospital",50,30,2
"way/13791019","hospital",50,30,1
"way/13791055","hospital",50,30,1
"way/13791109","hospital",50,30,2
"way/13791125","hospital",50,30,2
"way/13791136","hospital",50,30,2
"way/13791154","hospital",50,30,2
"way/13791169","hospital",50,30,1
"way/13791254","hospital",50,30,1
"way/13791283","hospital",50,30,1
"way/13871044","hospital",50,30,0
"way/13871045","hospital",50,30,0
"way/13871047","hospital",50,30,0
"way/13871067","hospital",50,30,0
"way/13871093","hospital",50,30,0
"relation/13897573","hospital",50,30,0
"relation/14013341","hospital",50,30,1
"way/14030514","hospital",50,30,1
"relation/14039622","hospital",50,30,0
"relation/14314860","hospital",50,30,0
"way/14327815","hospital",50,30,1
"relation/15448446","hospital",50,30,0
"way/15562665","hospital",50,30,1
"relation/15705401","hospital",50,30,3
"relation/15739999","hospital",50,30,0
"relation/15740000","hospital",50,30,0
"relation/15845963","hospital",50,30,0
"relation/15865524","hospital",50,30,0
"relation/16057741","hospital",50,30,3
"relation/16057742","hospital",50,30,3
"relation/16057743","hospital",50,30,3
"relation/16078420","hospital",50,30,1
"relation/16158689","hospital",50,30,0
"way/22919165","hospital",50,30,2
"way/23017040","hospital",50,30,0
"way/23017053","hospital",50,30,0
"way/23017066","hospital",50,30,0
"way/23017069","hospital",50,30,0
"way/23017070","hospital",50,30,0
"way/23017073","hospital",50,30,0
"way/23017075","hospital",50,30,0
"way/23017079","hospital",50,30,0
"way/23017080","hospital",50,30,0
"way/23017082","hospital",50,30,0
"way/23017084","hospital",50,30,0
"way/23017087","hospital",50,30,0
"way/23280699","hospital",50,30,0
"way/23299053","hospital",50,30,1
"way/23412360","hospital",50,30,0
"way/23808638","hospital",50,30,3
"way/23809268","hospital",50,30,3
"way/23809364","hospital",50,30,3
"way/24169990","hospital",50,30,0
"way/24195993","hospital",50,30,0
"way/24196032","hospital",50,30,0
"way/24264482","hospital",50,30,0
"way/24391844","hospital",50,30,1
"way/24396755","hospital",50,30,2
"way/24396757","hospital",50,30,1
"way/24396758","hospital",50,30,2
"way/24434034","hospital",50,30,1
"way/24434035","hospital",50,30,0
"way/24434036","hospital",50,30,0
"way/24434039","hospital",50,30,0
"way/24434040","hospital",50,30,1
"way/24434041","hospital",50,30,0
"way/24434042","hospital",50,30,0
"way/24434043","hospital",50,30,0
"way/24434044","hospital",50,30,0
"way/24434045","hospital",50,30,0
"way/24434046","hospital",50,30,0
"way/24434047","hospital",50,30,0
"way/24434049","hospital",50,30,0
"way/24434050","hospital",50,30,0
"way/24434051","hospital",50,30,0
"way/24434052","hospital",50,30,0
"way/24434053","hospital",50,30,0
"way/24434056","hospital",50,30,0
"way/24592302","hospital",50,30,0
"way/24609204","hospital",50,30,0
"way/24609205","hospital",50,30,0
"way/24609206","hospital",50,30,0
"way/24609210","hospital",50,30,0
"way/24609212","hospital",50,30,0
"way/25101682","hospital",50,30,1
"way/25101772","hospital",50,30,2
"way/25101776","hospital",50,30,2
"way/25101814","hospital",50,30,2
"way/25312056","hospital",50,30,2
"way/25312062","hospital",50,30,2
"way/25312070","hospital",50,30,2
"way/25383930","hospital",50,30,2
"way/25383964","hospital",50,30,2
"way/25383985","hospital",50,30,2
"way/25384533","hospital",50,30,2
"way/25384558","hospital",50,30,1
"way/25384594","hospital",50,30,2
"way/25771077","hospital",50,30,2
"way/25863912","hospital",50,30,0
"way/25863913","hospital",50,30,0
"way/25863914","hospital",50,30,0
"way/25863915","hospital",50,30,0
"way/25974260","hospital",50,30,0
"way/26023163","hospital",50,30,0
"way/26023180","hospital",50,30,0
"way/26023225","hospital",50,30,0
"way/26023227","hospital",50,30,0
"way/26023229","hospital",50,30,0
"way/26023231","hospital",50,30,0
"way/26126844","hospital",50,30,0
"way/26241609","hospital",50,30,1
"way/26436984","hospital",50,30,0
"way/26436985","hospital",50,30,0
"way/26436986","hospital",50,30,0
"way/26436987","hospital",50,30,0
"way/26436988","hospital",50,30,0
"way/26436989","hospital",50,30,0
"way/26437146","hospital",50,30,0
"way/26465506","hospital",50,30,0
"way/26465515","hospital",50,30,0
"way/26465686","hospital",50,30,0
"way/26465725","hospital",50,30,0
"way/26465741","hospital",50,30,0
"way/26465757","hospital",50,30,0
"way/26465761","hospital",50,30,0
"way/26465772","hospital",50,30,0
"way/26465786","hospital",50,30,0
"way/26465815","hospital",50,30,0
"way/26465850","hospital",50,30,0
"way/26465914","hospital",50,30,0
"way/26467066","hospital",50,30,0
"way/26488165","hospital",50,30,1
"way/26488365","hospital",50,30,1
"way/26505399","hospital",50,30,0
"way/26505400","hospital",50,30,0
"way/26576452","hospital",50,30,0
"way/26718602","hospital",50,30,0
"way/26839256","hospital",50,30,1
"way/26839671","hospital",50,30,3
"way/26964665","hospital",50,30,2
"way/26964666","hospital",50,30,2
"way/26964669","hospital",50,30,2
"way/26964670","hospital",50,30,2
"way/27004531","hospital",50,30,2
"way/27005027","hospital",50,30,2
"way/27005029","hospital",50,30,2
"way/27005820","hospital",50,30,2
"way/27017758","hospital",50,30,2
"way/27017840","hospital",50,30,2
"way/27037392","hospital",50,30,1
"way/27037409","hospital",50,30,2
"way/27037420","hospital",50,30,1
"way/27037421","hospital",50,30,1
"way/27037424","hospital",50,30,1
"way/27037432","hospital",50,30,1
"way/27037442","hospital",50,30,1
"way/27037445","hospital",50,30,1
"way/27037524","hospital",50,30,1
"way/27037540","hospital",50,30,1
"way/27037545","hospital",50,30,1
"way/27037603","hospital",50,30,1
"way/27037608","hospital",50,30,1
"way/27037628","hospital",50,30,2
"way/27037805","hospital",50,30,2
"way/27037818","hospital",50,30,2
"way/27037837","hospital",50,30,1
"way/27037851","hospital",50,30,1
"way/27037858","hospital",50,30,1
"way/27037869","hospital",50,30,1
"way/27037871","hospital",50,30,1
"way/27037886","hospital",50,30,1
"way/27037889","hospital",50,30,1
"way/27070798","hospital",50,30,2
"way/27070845","hospital",50,30,2
"way/27070860","hospital",50,30,2
"way/27070893","hospital",50,30,2
"way/27070906","hospital",50,30,2
"way/27070925","hospital",50,30,2
"way/27070943","hospital",50,30,2
"way/27070971","hospital",50,30,2
"way/27070984","hospital",50,30,2
"way/27071012","hospital",50,30,2
"way/27071031","hospital",50,30,2
"way/27071325","hospital",50,30,2
"way/27114009","hospital",50,30,2
"way/27114010","hospital",50,30,2
"way/27319239","hospital",50,30,0
"way/27415381","hospital",50,30,1
"way/27415382","hospital",50,30,1
"way/27415383","hospital",50,30,1
"way/27415384","hospital",50,30,1
"way/27424203","hospital",50,30,3
"way/27424266","hospital",50,30,3
"way/27523914","hospital",50,30,0
"way/27523925","hospital",50,30,0
"way/27524503","hospital",50,30,0
"way/27525139","hospital",50,30,0
"way/27525140","hospital",50,30,0
"way/27525141","hospital",50,30,0
"way/27525142","hospital",50,30,0
"way/27525143","hospital",50,30,0
"way/27525144","hospital",50,30,0
"way/27525145","hospital",50,30,0
"way/27548391","hospital",50,30,2
"way/27548392","hospital",50,30,2
"way/27548393","hospital",50,30,2
"way/27548394","hospital",50,30,2
"way/27548395","hospital",50,30,2
"way/27548396","hospital",50,30,2
"way/27548397","hospital",50,30,2
"way/27548398","hospital",50,30,2
"way/27548402","hospital",50,30,2
"way/27548403","hospital",50,30,2
"way/27548404","hospital",50,30,2
"way/27548413","hospital",50,30,2
"way/27548670","hospital",50,30,2
"way/27549850","hospital",50,30,2
"way/27549851","hospital",50,30,2
"way/27549852","hospital",50,30,2
"way/27570005","hospital",50,30,1
"way/27622794","hospital",50,30,1
"way/27622800","hospital",50,30,1
"way/27622812","hospital",50,30,1
"way/27622813","hospital",50,30,1
"way/27622845","hospital",50,30,1
"way/27622846","hospital",50,30,1
"way/27622856","hospital",50,30,1
"way/27622869","hospital",50,30,1
"way/27676398","hospital",50,30,0
"way/27676403","hospital",50,30,0
"way/27739687","hospital",50,30,0
"way/27762576","hospital",50,30,0
"way/27762645","hospital",50,30,0
"way/27764035","hospital",50,30,0
"way/27766770","hospital",50,30,0
"way/27766793","hospital",50,30,0
"way/27766799","hospital",50,30,0
"way/27766802","hospital",50,30,0
"way/27766805","hospital",50,30,0
"way/27769500","hospital",50,30,2
"way/27813361","hospital",50,30,0
"way/27813362","hospital",50,30,0
"way/27813363","hospital",50,30,0
"way/27813364","hospital",50,30,0
"way/27813380","hospital",50,30,0
"way/27813381","hospital",50,30,0
"way/27813704","hospital",50,30,0
"way/27813711","hospital",50,30,0
"way/27813712","hospital",50,30,0
"way/27813713","hospital",50,30,0
"way/27827173","hospital",50,30,2
"way/27833572","hospital",50,30,0
"way/27934889","hospital",50,30,1
"way/27934951","hospital",50,30,1
"way/28200658","hospital",50,30,0
"way/28204080","hospital",50,30,1
"way/28204081","hospital",50,30,1
"way/28323626","hospital",50,30,0
"way/28418945","hospital",50,30,1
"way/28477479","hospital",50,30,0
"way/28477543","hospital",50,30,0
"way/28816093","hospital",50,30,1
"way/30079545","hospital",50,30,1
"way/30079558","hospital",50,30,1
"way/30083935","hospital",50,30,0
"way/30083940","hospital",50,30,0
"way/30083943","hospital",50,30,0
"way/30083961","hospital",50,30,0
"way/30083966","hospital",50,30,0
"way/30088017","hospital",50,30,1
"way/30089899","hospital",50,30,1
"way/30244592","hospital",50,30,3
"way/30244593","hospital",50,30,2
"way/30244594","hospital",50,30,2
"way/30248980","hospital",50,30,3
"way/30248985","hospital",50,30,3
"way/30283173","hospital",50,30,3
"way/30283174","hospital",50,30,3
"way/30442913","hospital",50,30,1
"way/30442914","hospital",50,30,1
"way/30442916","hospital",50,30,1
"way/30476097","hospital",50,30,2
"way/30476099","hospital",50,30,2
"way/30476100","hospital",50,30,2
"way/30476101","hospital",50,30,2
"way/30483273","hospital",50,30,0
"way/30574798","hospital",50,30,3
"way/30576896","hospital",50,30,3
"way/30576899","hospital",50,30,3
"way/30576900","hospital",50,30,3
"way/30576901","hospital",50,30,3
"way/30576903","hospital",50,30,3
"way/30583362","hospital",50,30,4
"way/30589463","hospital",50,30,2
"way/30589465","hospital",50,30,2
"way/30589466","hospital",50,30,2
"way/30589467","hospital",50,30,2
"way/30589469","hospital",50,30,2
"way/30589470","hospital",50,30,2
"way/30589473","hospital",50,30,2
"way/30589478","hospital",50,30,2
"way/30589791","hospital",50,30,2
"way/30589792","hospital",50,30,2
"way/30589794","hospital",50,30,2
"way/30589795","hospital",50,30,2
"way/30589796","hospital",50,30,2
"way/30589872","hospital",50,30,2
"way/30589874","hospital",50,30,2
"way/30611541","hospital",50,30,2
"way/30611542","hospital",50,30,3
"way/30611544","hospital",50,30,4
"way/30611545","hospital",50,30,3
"way/30611546","hospital",50,30,3
"way/30611547","hospital",50,30,2
"way/30611548","hospital",50,30,3
"way/30611551","hospital",50,30,3
"way/30658143","hospital",50,30,1
"way/30658144","hospital",50,30,1
"way/30658145","hospital",50,30,1
"way/30658146","hospital",50,30,1
"way/30658186","hospital",50,30,1
"way/30658808","hospital",50,30,1
"way/30658809","hospital",50,30,1
"way/30658810","hospital",50,30,1
"way/30658811","hospital",50,30,1
"way/30658812","hospital",50,30,1
"way/30699680","hospital",50,30,3
"way/30731829","hospital",50,30,3
"way/30731858","hospital",50,30,3
"way/30733078","hospital",50,30,2
"way/30733079","hospital",50,30,2
"way/30733080","hospital",50,30,2
"way/30733081","hospital",50,30,2
"way/30733082","hospital",50,30,2
"way/30733083","hospital",50,30,2
"way/30733084","hospital",50,30,2
"way/30733085","hospital",50,30,2
"way/30733086","hospital",50,30,2
"way/30733087","hospital",50,30,2
"way/30733088","hospital",50,30,2
"way/30733089","hospital",50,30,2
"way/30747062","hospital",50,30,1
"way/30747063","hospital",50,30,1
"way/30747064","hospital",50,30,1
"way/30747065","hospital",50,30,1
"way/30747066","hospital",50,30,1
"way/30784011","hospital",50,30,1
"way/30784012","hospital",50,30,1
"way/30784013","hospital",50,30,1
"way/30784014","hospital",50,30,1
"way/30784015","hospital",50,30,1
"way/30784016","hospital",50,30,1
"way/30784482","hospital",50,30,1
"way/30784516","hospital",50,30,1
"way/30784517","hospital",50,30,1
"way/30784523","hospital",50,30,1
"way/30784526","hospital",50,30,1
"way/30839261","hospital",50,30,0
"way/30844688","hospital",50,30,3
"way/30898485","hospital",50,30,2
"way/30898490","hospital",50,30,2
"way/30898500","hospital",50,30,1
"way/30906311","hospital",50,30,2
"way/31009465","hospital",50,30,1
"way/31009467","hospital",50,30,1
"way/31009468","hospital",50,30,1
"way/31149931","hospital",50,30,0
"way/31150211","hospital",50,30,0
"way/31171327","hospital",50,30,1
"way/31248281","hospital",50,30,4
"way/31304602","hospital",50,30,1
"way/31304606","hospital",50,30,1
"way/31304650","hospital",50,30,1
"way/31304653","hospital",50,30,1
"way/31304655","hospital",50,30,1
"way/31304739","hospital",50,30,2
"way/31304754","hospital",50,30,2
"way/31304761","hospital",50,30,2
"way/31304768","hospital",50,30,2
"way/31304816","hospital",50,30,2
"way/31304830","hospital",50,30,2
"way/31309247","hospital",50,30,0
"way/31309350","hospital",50,30,0
"way/31309414","hospital",50,30,0
"way/31320398","hospital",50,30,1
"way/31320427","hospital",50,30,1
"way/31320450","hospital",50,30,1
"way/31320458","hospital",50,30,1
"way/31325682","hospital",50,30,2
"way/31342860","hospital",50,30,3
"way/31632019","hospital",50,30,3
"way/31640675","hospital",50,30,3
"way/31714192","hospital",50,30,0
"way/31798615","hospital",50,30,1
"way/31799737","hospital",50,30,1
"way/31799738","hospital",50,30,1
"way/31799739","hospital",50,30,1
"way/31799956","hospital",50,30,1
"way/31799957","hospital",50,30,1
"way/31799958","hospital",50,30,1
"way/31799960","hospital",50,30,1
"way/31799961","hospital",50,30,1
"way/31799962","hospital",50,30,1
"way/31799963","hospital",50,30,1
"way/31799964","hospital",50,30,1
